# log10mustar log10mustar_err log10lambda log10lambda_err
1.229662704467773438e+01 1.461080014705657959e-01 1.359293103218078613e+00 4.339040443301200867e-02
1.251177406311035156e+01 1.542060077190399170e-01 1.394338607788085938e+00 3.755843639373779297e-02
1.245462417602539062e+01 8.509679138660430908e-02 1.411625981330871582e+00 3.502031043171882629e-02
1.244537162780761719e+01 8.470402657985687256e-02 1.424777626991271973e+00 3.968501463532447815e-02
1.240234375000000000e+01 1.010380163788795471e-01 1.347548961639404297e+00 3.329582139849662781e-02
1.247068309783935547e+01 1.113014444708824158e-01 1.430961608886718750e+00 4.923034086823463440e-02
1.248049354553222656e+01 8.204003423452377319e-02 1.345460653305053711e+00 3.248536586761474609e-02
1.237235927581787109e+01 1.492199152708053589e-01 1.402281999588012695e+00 4.259799420833587646e-02
1.245830154418945312e+01 1.042091026902198792e-01 1.379110813140869141e+00 3.677546977996826172e-02
1.230000305175781250e+01 1.678486764430999756e-01 1.383516430854797363e+00 4.096530377864837646e-02
1.234697818756103516e+01 1.254215687513351440e-01 1.317995309829711914e+00 3.358307480812072754e-02
1.226976776123046875e+01 1.008024737238883972e-01 1.399386286735534668e+00 5.110957100987434387e-02
1.242374801635742188e+01 7.733850926160812378e-02 1.411369204521179199e+00 4.462230205535888672e-02
1.218282222747802734e+01 1.070618182420730591e-01 1.361316084861755371e+00 3.810148686170578003e-02
1.247500038146972656e+01 8.866024762392044067e-02 1.417238831520080566e+00 4.404890909790992737e-02
1.226362419128417969e+01 1.210376173257827759e-01 1.398063659667968750e+00 3.748703002929687500e-02
1.244363307952880859e+01 1.452828198671340942e-01 1.452755331993103027e+00 3.939564898610115051e-02
1.227366924285888672e+01 1.052477061748504639e-01 1.395672678947448730e+00 4.231045022606849670e-02
1.243074226379394531e+01 1.016362905502319336e-01 1.350514888763427734e+00 3.493443876504898071e-02
1.246824073791503906e+01 6.778363138437271118e-02 1.435603141784667969e+00 4.066718369722366333e-02
1.242899513244628906e+01 8.042791485786437988e-02 1.416731595993041992e+00 4.108671098947525024e-02
1.247884273529052734e+01 1.233215630054473877e-01 1.356678247451782227e+00 5.009277164936065674e-02
1.235704421997070312e+01 1.483964174985885620e-01 1.427261829376220703e+00 4.527393355965614319e-02
1.221674346923828125e+01 1.241245865821838379e-01 1.339134931564331055e+00 3.018417581915855408e-02
1.231265163421630859e+01 1.000526472926139832e-01 1.397268056869506836e+00 4.486282169818878174e-02
1.243409442901611328e+01 1.122581213712692261e-01 1.340346932411193848e+00 3.828994184732437134e-02
1.231610774993896484e+01 7.816720753908157349e-02 1.378279805183410645e+00 3.723160922527313232e-02
1.221838378906250000e+01 9.785839915275573730e-02 1.400968074798583984e+00 4.476418346166610718e-02
1.246007347106933594e+01 1.288043409585952759e-01 1.353754281997680664e+00 3.624447062611579895e-02
1.251124763488769531e+01 1.370776891708374023e-01 1.325887322425842285e+00 3.500647097826004028e-02
1.247256755828857422e+01 1.364976912736892700e-01 1.430224180221557617e+00 4.531920701265335083e-02
1.246115493774414062e+01 1.683853268623352051e-01 1.348440885543823242e+00 3.920276463031768799e-02
1.241862773895263672e+01 2.553483545780181885e-01 1.321485519409179688e+00 3.558394312858581543e-02
1.237321758270263672e+01 1.103782206773757935e-01 1.379387497901916504e+00 4.034565016627311707e-02
1.243246364593505859e+01 8.281310647726058960e-02 1.491180419921875000e+00 5.282082781195640564e-02
1.245771503448486328e+01 2.382597476243972778e-01 1.380492448806762695e+00 3.828596696257591248e-02
1.247754383087158203e+01 1.376378238201141357e-01 1.326824784278869629e+00 4.177601635456085205e-02
1.250702571868896484e+01 1.206703484058380127e-01 1.323062777519226074e+00 3.672341629862785339e-02
1.247430992126464844e+01 2.500925660133361816e-01 1.328382849693298340e+00 4.320724308490753174e-02
1.240347766876220703e+01 1.636257767677307129e-01 1.402019500732421875e+00 4.457360133528709412e-02
1.235517501831054688e+01 1.316046565771102905e-01 1.301767587661743164e+00 4.251866415143013000e-02
1.240998840332031250e+01 1.455638259649276733e-01 1.425773024559020996e+00 3.821964934468269348e-02
1.244414234161376953e+01 1.241058781743049622e-01 1.425026774406433105e+00 3.489730879664421082e-02
1.242920589447021484e+01 1.504078954458236694e-01 1.415206193923950195e+00 4.303918406367301941e-02
1.243933391571044922e+01 1.227746903896331787e-01 1.446165323257446289e+00 4.014814645051956177e-02
